Strain,Metformin_mM,AUC_mean,AUC_sd,AUC_median,AUC_se,number_elements
NT12038,100,4.191466666666667,0.7666043590623091,4.3142,0.4425992330665647,3
NT12038,200,0.13943333333333333,0.05212200431039979,0.1298,0.030092653219312156,3
NT12039,0,13.0801,0.45134589839722705,13.1453,0.2605846759372725,3
NT12039,50,8.592033333333333,0.7656547546599143,8.6225,0.4420509787092184,3
NT12039,100,5.172233333333334,0.8069807577218512,4.9654,0.465910557701559,3
NT12039,200,0.29866666666666664,0.4529032714977154,0.076,0.26148382571606815,3
NT12040,0,11.263366666666666,1.21385740650759,11.1381,0.7008209004049781,3
NT12040,50,7.103233333333334,0.7760967744639409,7.0012,0.44807968165395656,3
NT12040,100,2.9455666666666667,0.5391800657788949,2.889,0.3112957561191251,3
NT12040,200,0.0221,0.03588077479653972,0.0028,0.02071577498751455,3
NT12041,0,10.881533333333334,1.0623780416279942,10.5525,0.61336424831507,3
NT12041,50,6.3728,1.4217806617055953,6.3103,0.8208654477643297,3
NT12041,100,2.6087,1.3140286107996282,2.0669,0.7586547721680353,3
NT12041,200,0.0031333333333333335,0.003493326972004386,0.0025,0.0020168732676541126,3
NT12042,0,11.284666666666666,0.8822728451750816,11.135,0.5093804646605304,3
NT12042,50,6.7493,0.6644228849159246,6.7236,0.38360473146195684,3
NT12042,100,4.4444,0.17745931928191305,4.4465,0.10245618575762025,3
NT12042,200,0.13143333333333335,0.1516308785615032,0.0496,0.08754412855494333,3
NT12043,0,10.348866666666666,0.6968837803632203,10.3331,0.4023460381865893,3
NT12043,50,6.445233333333333,0.48364963902946656,6.2789,0.27923524928712784,3
NT12043,100,1.7269333333333332,0.9291520937571702,1.7982,0.5364462114488067,3
NT12043,200,0.07,0.003994996871087635,0.071,0.002306512518934159,3
NT12044,0,9.325066666666666,0.6670352339519504,9.4037,0.3851129718811236,3
NT12044,50,4.9888,0.8376677682709297,4.9825,0.48362771150269435,3
NT12044,100,2.0214333333333334,1.5039114546186998,2.6393,0.868283683161468,3
NT12044,200,0.1149,0.09890060667154676,0.1153,0.05710029188483483,3
NT12045,0,11.383000000000001,0.5282023002600423,11.3812,0.304957740241715,3
NT12045,50,7.3274,0.4904700092768158,7.0505,0.28317299188540784,3
NT12045,100,6.219433333333333,0.6193533509502742,6.0911,0.3575838238946376,3
NT12045,200,2.5069,0.6902624066251906,2.5911,0.3985231862765327,3
NT12046,0,12.753366666666667,1.3707355154563308,12.2673,0.791394518836493,3
NT12046,50,6.1400999999999994,0.26820796035912126,6.0771,0.15484993811213915,3
NT12046,100,4.284566666666667,0.2558760311817685,4.1403,0.1477300954819671,3
NT12046,200,1.6028333333333333,0.5130396216018147,1.7183,0.2962035636367515,3
NT12047,0,12.405833333333334,0.7965254693563372,12.1318,0.4598741941492743,3
NT12047,50,6.306666666666667,0.5622848507058797,6.0522,0.32463530991628825,3
NT12047,100,4.515666666666666,0.6684804360138996,4.3776,0.3859473596806234,3
NT12047,200,0.6485,0.567893326250626,0.6404,0.3278733647817909,3
NT12048,0,9.357966666666666,0.12798473867353596,9.3247,0.0738920233253299,3
NT12048,50,5.602033333333333,0.20244506250667937,5.6549,0.11688171133434196,3
NT12048,100,6.124266666666666,0.17526552237486215,6.1689,0.10118959652278704,3
NT12048,200,1.6318666666666668,0.8420449889010286,1.9673,0.4861549010117843,3
NT12049,0,13.010933333333334,1.4372740599250138,12.2353,0.8298105653969731,3
NT12049,50,8.4572,0.5454542418938544,8.5243,0.3149181533880401,3
NT12049,100,4.844633333333333,1.5918949598931875,5.0955,0.9190809836159404,3
NT12049,200,0.5829,0.516695297056205,0.5908,0.2983141688444136,3
NT12050,0,14.608366666666667,0.40164134913294636,14.8315,0.23188774103959106,3
NT12050,50,7.3562,0.3264167275125465,7.4484,0.18845678549736547,3
NT12050,100,2.7333,0.6876638059400829,3.0504,0.39702288347146947,3
NT12050,200,0.073,0.003576310948449531,0.0725,0.0020647840887931426,3
NT12051,0,15.445833333333333,0.40791690738842074,15.2304,0.23551093628770436,3
NT12051,50,7.182833333333333,0.15347378712123222,7.1924,0.08860813230799475,3
NT12051,100,4.233933333333333,0.6576887891193928,3.9677,0.37971679944108044,3
NT12051,200,0.1783,0.18296674561241996,0.0837,0.10563589983208045,3
NT12052,0,11.074133333333334,1.2630774257080728,11.3283,0.7292380917398954,3
NT12052,50,7.7908333333333335,0.538561791564657,8.0489,0.3109387953351019,3
NT12052,100,4.276233333333333,0.5037060386111459,4.0299,0.29081481698458517,3
NT12052,200,0.0279,0.015974667445677864,0.0242,0.009222978549976868,3
NT12053,0,8.686366666666666,1.756517037586978,7.919,1.0141255844870058,3
NT12053,50,6.012833333333333,1.1336258303926097,5.4192,0.6544991783374863,3
NT12053,100,2.9608333333333334,0.30227223381139945,2.8662,0.17451695555956098,3
NT12053,200,0.020533333333333334,0.024739711666333812,0.0136,0.014283479190231553,3
NT12054,0,10.179833333333333,0.6825144858047574,10.169,0.3940499221051957,3
NT12054,50,8.981233333333334,0.6200441301498898,8.6489,0.3579826454514862,3
NT12054,100,2.6862666666666666,2.384327222369726,3.0123,1.3765919636713142,3
NT12054,200,0.03936666666666667,0.03612815153496416,0.0468,0.02085859801403515,3
NT12055,0,8.7135,0.21206784291825093,8.6798,0.12243742619531545,3
NT12055,50,6.6762999999999995,0.9594235196199851,6.2298,0.5539234273194567,3
NT12055,100,1.5917333333333332,1.4441119635725386,1.2461,0.8337584309085643,3
NT12055,200,0.0701,0.001835755975068582,0.0693,0.0010598742063723098,3
NT12056,0,10.720066666666666,2.3670853646062993,10.8009,1.3666373724502705,3
NT12056,50,6.9061,0.7810066004842725,7.2256,0.45091437102846926,3
NT12056,100,1.9424,0.23734304287254757,1.9736,0.13703006969275022,3
NT12056,200,0.05773333333333333,0.011269575561365801,0.0522,0.006506492484007374,3
NT12057,0,5.2776,0.08912261216997666,5.2558,0.051454964127218644,3
NT12057,50,5.315466666666667,0.878827243167469,5.1993,0.507391145413915,3
NT12057,100,2.0871,1.4727004821076144,2.7565,0.8502640197805229,3
NT12057,200,0.0346,0.01809668477926275,0.0331,0.010448125828747153,3
NT12058,0,12.640033333333333,0.7222886980517789,12.8881,0.4170135742528189,3
NT12058,50,8.274466666666667,0.49333550787809005,8.0561,0.28482738827421605,3
NT12058,100,5.1544,0.21814231593159547,5.2366,0.12594452482475504,3
NT12058,200,0.040100000000000004,0.0328501141550528,0.0402,0.01896602225032967,3
NT12059,0,11.948,0.7746297631772229,12.1803,0.4472327022926657,3
NT12059,50,7.526766666666666,0.9248932713201736,7.194,0.5339873791683759,3
NT12059,100,5.961866666666666,0.557190006490904,6.0195,0.32169380023729277,3
NT12059,200,1.1185666666666667,1.2505245472733963,0.8025,0.7219906839965303,3
NT12060,0,12.296066666666666,0.677492260718404,12.442,0.3911503390996587,3
NT12060,50,8.315766666666667,0.26050110044553254,8.2214,0.15040038046642196,3
NT12060,100,6.6788,0.378693900135716,6.7841,0.21863902518382491,3
NT12060,200,3.5837,0.08914140452113145,3.5927,0.05146581389621657,3
NT12061,0,13.162966666666666,0.29651614346158855,13.1811,0.17119367524661785,3
