Strain,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.adj,p.adj.signif
NT12004,2.800066666666666,11.287033333333333,8.486966666666667,AUC,0,50,3,3,3.9909286834997744,0.025,3.1842950319897727,0.6385936129723515,4.961539720360981,T-test,two.sided,0.03222610722610723,*
NT12004,6.372366666666666,11.287033333333333,4.914666666666667,AUC,0,100,3,3,5.791029533952853,0.018,2.4408735391370597,2.369850891836899,10.374882441496434,T-test,two.sided,0.024577777777777775,*
NT12004,11.223700000000001,11.287033333333333,0.06333333333333332,AUC,0,200,3,3,32.186866542659686,9.6e-4,2.001298979457264,9.72427915533639,12.72312084466361,T-test,two.sided,0.0031934552454282966,**
NT12004,3.5723000000000003,8.486966666666667,4.914666666666667,AUC,50,100,3,3,2.956464694517884,0.055,3.2199577171712224,-0.12863868205825243,7.273238682058253,T-test,two.sided,0.06323284823284823,ns
NT12004,8.423633333333335,8.486966666666667,0.06333333333333332,AUC,50,200,3,3,13.834582639019075,0.005,2.0004259469099037,5.804358475100794,11.042908191565875,T-test,two.sided,0.009226918798665183,**
NT12004,4.851333333333334,4.914666666666667,0.06333333333333332,AUC,100,200,3,3,4.648156664696382,0.043,2.0001449542783925,0.3609182016043271,9.34174846506234,T-test,two.sided,0.05099142244460328,ns
NT12005,1.451766666666665,8.099599999999999,6.647833333333334,AUC,0,50,3,3,2.331625808321058,0.097,3.1964270621177198,-0.4626187928513681,3.3661521261846987,T-test,two.sided,0.10580078895463511,ns
NT12005,7.724599999999999,8.099599999999999,0.375,AUC,0,100,3,3,12.390273247893502,8.14e-4,3.2062740006807795,5.8108257072604825,9.638374292739515,T-test,two.sided,0.0031934552454282966,**
NT12005,8.054199999999998,8.099599999999999,0.0454,AUC,0,200,3,3,14.922543704354116,0.004,2.0038528122809454,5.73618683473536,10.372213165264636,T-test,two.sided,0.0079568345323741,**
NT12005,6.272833333333334,6.647833333333334,0.375,AUC,50,100,3,3,14.230875406193801,1.42e-4,3.999894895740572,5.04899028834965,7.496676378317018,T-test,two.sided,0.0015198580645161292,**
NT12005,6.602433333333334,6.647833333333334,0.0454,AUC,50,200,3,3,21.20674271614725,0.002,2.01160147674845,5.270236736211971,7.9346299304546966,T-test,two.sided,0.005077276205049732,**
NT12005,0.3296,0.375,0.0454,AUC,100,200,3,3,1.053264146922466,0.402,2.011483144968185,-1.0094983108985844,1.6686983108985842,T-test,two.sided,0.4086507352941177,ns
NT12006,1.7964333333333329,6.5634999999999994,4.767066666666667,AUC,0,50,3,3,2.2701543457958397,0.094,3.5438045689054407,-0.5168078642995094,4.109674530966174,T-test,two.sided,0.10273122529644269,ns
NT12006,4.497633333333333,6.5634999999999994,2.0658666666666665,AUC,0,100,3,3,5.9851725321302585,0.008,3.1826270589666863,2.181934028344092,6.813332638322574,T-test,two.sided,0.012885436893203882,*
NT12006,6.537466666666666,6.5634999999999994,0.026033333333333332,AUC,0,200,3,3,10.020807743749911,0.01,2.0016550980186048,3.732685563022498,9.342247770310832,T-test,two.sided,0.015354002776492364,*
NT12006,2.7012,4.767066666666667,2.0658666666666665,AUC,50,100,3,3,4.632366810321271,0.011,3.8732823882062166,1.061110375682393,4.341289624317606,T-test,two.sided,0.016559891107078038,*
NT12006,4.741033333333333,4.767066666666667,0.026033333333333332,AUC,50,200,3,3,10.576498123794003,0.009,2.0035073226786237,2.8155531755938243,6.666513491072842,T-test,two.sided,0.014099150141643058,*
NT12006,2.039833333333333,2.0658666666666665,0.026033333333333332,AUC,100,200,3,3,5.462689515796999,0.032,2.005056258246563,0.4370479337356951,3.642618732930971,T-test,two.sided,0.03973652694610779,*
NT12007,5.613866666666668,13.958666666666668,8.3448,AUC,0,50,3,3,2.730341597529124,0.063,3.371327846906599,-0.5401578479418784,11.767891181275214,T-test,two.sided,0.07131832139201638,ns
NT12007,9.339166666666667,13.958666666666668,4.6194999999999995,AUC,0,100,3,3,4.990814339038205,0.021,2.6127813978481647,2.8521429340342848,15.826190399299051,T-test,two.sided,0.027848920863309354,*
NT12007,13.918666666666669,13.958666666666668,0.039999999999999994,AUC,0,200,3,3,8.000213234732463,0.015,2.000376029112248,6.434315855816124,21.40301747751721,T-test,two.sided,0.02116971501488728,*
NT12007,3.7253,8.3448,4.6194999999999995,AUC,50,100,3,3,2.8774976800394283,0.055,3.3682034791586846,-0.15135347920740433,7.601953479207405,T-test,two.sided,0.06323284823284823,ns
NT12007,8.3048,8.3448,0.039999999999999994,AUC,50,200,3,3,7.577187400603547,0.017,2.0009476180881465,3.591117103486266,13.018482896513733,T-test,two.sided,0.023443890274314216,*
NT12007,4.5794999999999995,4.6194999999999995,0.039999999999999994,AUC,100,200,3,3,6.642079054971397,0.022,2.0023955464975574,1.6163576257760537,7.542642374223944,T-test,two.sided,0.02890930693069307,*
NT12008,4.6786,12.1737,7.4951,AUC,0,50,6,6,6.194261241658684,1.13e-4,9.774377145462221,2.990379325159548,6.366820674840452,T-test,two.sided,0.0013390499999999998,**
NT12008,9.603883333333334,12.1737,2.5698166666666666,AUC,0,100,6,6,7.882906256143099,1.1e-4,6.876011904239407,6.712455766512091,12.495310900154577,T-test,two.sided,0.0013223913043478263,**
NT12008,11.443716666666667,12.1737,0.7299833333333333,AUC,0,200,6,6,18.32881114079596,1.05e-8,9.450500096509495,10.041520472913406,12.845912860419928,T-test,two.sided,5.8065e-6,****
NT12008,4.925283333333333,7.4951,2.5698166666666666,AUC,50,100,6,6,3.929585383659478,0.005,7.471888826341438,1.9990244292352002,7.851542237431465,T-test,two.sided,0.009226918798665183,**
NT12008,6.765116666666667,7.4951,0.7299833333333333,AUC,50,200,6,6,9.800426343484492,5.23e-6,8.74300083140542,5.196551664108025,8.333681669225308,T-test,two.sided,2.629263636363636e-4,***
NT12008,1.8398333333333334,2.5698166666666666,0.7299833333333333,AUC,100,200,6,6,1.5603584476610362,0.168,6.173901842295056,-1.0257580404243565,4.705424707091023,T-test,two.sided,0.17712869399428027,ns
NT12009,1.5322166666666668,4.651033333333333,3.1188166666666666,AUC,0,50,6,6,1.6069892944094821,0.141,9.557383943908219,-0.6056597282078334,3.670093061541167,T-test,two.sided,0.15028525538066173,ns
NT12009,4.176666666666667,4.651033333333333,0.4743666666666667,AUC,0,100,6,6,5.036028968171811,0.001,7.313217229275234,2.2324476544776317,6.120885678855702,T-test,two.sided,0.0031934552454282966,**
NT12009,4.605483333333333,4.651033333333333,0.04555,AUC,0,200,6,6,6.195948170330795,0.002,5.002358053003619,2.695026186601001,6.515940480065665,T-test,two.sided,0.005077276205049732,**
